step,t_hours,phase,isDay,sunDirX,sunDirY,sunDirZ,sunElevDeg,sunAzimDeg,moonDirX,moonDirY,moonDirZ,moonElevDeg,moonAzimDeg,sunCacheX,sunCacheY,sunCacheZ,moonCacheX,moonCacheY,moonCacheZ,sunLocX,sunLocY,sunLocZ,moonLocX,moonLocY,moonLocZ,sunDrawScale,moonDrawScale,sunScale,moonScale,sunModA,sunModB,sunModC,moonModA,moonModB,moonModC,moonR,moonG,moonB,moonHex,slopeSunAngle,azimuth,dramaticDiffuse
66,5.519164,3,0,-0.968474,-0.124529,0.215755,12.460,-172.673,0.968148,0.125162,-0.216851,-12.524,7.366,-0.996444,-0.042120,0.072974,0.968148,0.125162,-0.216851,673.439,264450.094,24510.490,87.487,264404.688,24589.160,16.000000,2.879167,0.000000,2.879791,-1.654718,3.141593,0.000000,1.319031,3.141593,0.000000,172,87,17,#AC5711,30.000000,180.000000,0.000000
67,5.602787,3,0,-0.978450,-0.103219,0.178833,10.302,-173.978,0.978148,0.103933,-0.180070,-10.374,6.065,-0.997564,-0.034871,0.060415,0.978148,0.103933,-0.180070,673.831,264447.562,24514.887,85.037,264409.875,24580.148,16.000000,2.900000,0.000000,2.900697,-1.640123,3.141593,0.000000,1.362816,3.141593,0.000000,170,83,14,#AA530E,30.000000,180.000000,0.000000
68,5.686411,3,0,-0.986550,-0.081711,0.141569,8.139,-175.265,0.986286,0.082506,-0.142946,-8.218,4.782,-0.998473,-0.027614,0.047843,0.986286,0.082506,-0.142946,674.149,264445.000,24519.285,83.044,264415.125,24571.053,16.000000,2.920833,0.000000,2.921603,-1.625528,3.141593,0.000000,1.406602,3.141593,0.000000,168,79,11,#A84F0B,30.000000,180.000000,0.000000
69,5.770035,3,0,-0.992760,-0.060046,0.104033,5.971,-176.539,0.992546,0.060921,-0.105549,-6.059,3.512,-0.999171,-0.020352,0.035261,0.992546,0.060921,-0.105549,674.393,264442.469,24523.689,81.510,264420.406,24561.891,16.000000,2.941667,0.000000,2.942509,-1.610933,3.141593,0.000000,1.450387,3.141593,0.000000,166,75,8,#A64B08,30.000000,180.000000,0.000000
70,5.853659,3,0,-0.997066,-0.038266,0.066298,3.801,-177.802,0.996917,0.039221,-0.067953,-3.896,2.253,-0.999657,-0.013086,0.022672,0.996917,0.039221,-0.067953,674.564,264439.938,24528.096,80.439,264425.750,24552.680,16.000000,2.962500,0.000000,2.963415,-1.596338,3.141593,0.000000,1.494172,3.141593,0.000000,165,71,5,#A54705,30.000000,180.000000,0.000000
71,5.937282,3,0,-0.999461,-0.016413,0.028436,1.630,-179.059,0.999391,0.017446,-0.030226,-1.732,1.000,-0.999932,-0.005816,0.010077,0.999391,0.017446,-0.030226,674.660,264437.375,24532.504,79.833,264431.062,24543.438,16.000000,2.983333,0.000000,2.984321,-1.581743,3.141593,0.000000,1.537957,3.141593,0.000000,163,67,2,#A34302,30.000000,180.000000,0.000000
72,6.020906,0,1,0.999993,-0.001824,0.003160,0.181,-0.105,0.999962,-0.004362,0.007558,0.433,-0.250,-0.999996,0.001454,-0.002519,0.999962,-0.004362,0.007558,674.682,264434.844,24536.912,79.693,264436.406,24534.180,15.899999,4.500000,1.984320,0.000000,-1.567147,3.141593,0.000000,1.581743,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
73,6.104529,0,1,0.999834,-0.009119,0.015800,0.905,-0.523,0.998629,-0.026162,0.045328,2.598,-1.501,-0.999848,0.008724,-0.015115,0.998629,-0.026162,0.045328,674.630,264432.281,24541.322,80.019,264441.750,24524.926,15.400001,4.500000,1.921603,0.000000,-1.552553,3.141593,0.000000,1.625528,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
74,6.188153,0,1,0.999461,-0.016413,0.028436,1.630,-0.941,0.995396,-0.047912,0.083011,4.762,-2.756,-0.999488,0.015992,-0.027708,0.995396,-0.047912,0.083011,674.504,264429.750,24545.729,80.812,264447.094,24515.693,14.900000,4.500000,1.858885,0.000000,-1.537957,3.141593,0.000000,1.669313,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
75,6.271777,0,1,0.998875,-0.023703,0.041067,2.354,-1.359,0.990268,-0.069571,0.120537,6.923,-4.019,-0.998917,0.023257,-0.040295,0.990268,-0.069571,0.120537,674.305,264427.219,24550.135,82.068,264452.375,24506.500,14.399999,4.500000,1.796167,0.000000,-1.523362,3.141593,0.000000,1.713099,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
76,6.355401,0,1,0.998077,-0.030988,0.053688,3.078,-1.778,0.983255,-0.091097,0.157832,9.081,-5.293,-0.998135,0.030517,-0.052874,0.983255,-0.091097,0.157832,674.031,264424.656,24554.537,83.786,264457.656,24497.363,13.900001,4.500000,1.733450,0.000000,-1.508767,3.141593,0.000000,1.756884,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
77,6.439025,0,1,0.997066,-0.038266,0.066299,3.801,-2.198,0.974370,-0.112451,0.194828,11.235,-6.583,-0.997141,0.037771,-0.065441,0.974370,-0.112451,0.194828,673.683,264422.125,24558.936,85.963,264462.906,24488.299,13.400000,4.500000,1.670731,0.000000,-1.494172,3.141593,0.000000,1.800669,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
78,6.522648,0,1,0.995843,-0.045536,0.078895,4.525,-2.618,0.963630,-0.133590,0.231452,13.383,-7.893,-0.995937,0.045017,-0.077994,0.963630,-0.133590,0.231452,673.262,264419.594,24563.330,88.594,264468.062,24479.326,12.899999,4.500000,1.608014,0.000000,-1.479577,3.141593,0.000000,1.844454,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
79,6.606272,0,1,0.994407,-0.052797,0.091474,5.248,-3.039,0.951056,-0.154474,0.267636,15.524,-9.226,-0.994522,0.052253,-0.090531,0.951056,-0.154474,0.267636,672.766,264417.062,24567.717,91.675,264473.188,24470.461,12.400001,4.500000,1.545296,0.000000,-1.464982,3.141593,0.000000,1.888240,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
80,6.689896,0,1,0.992760,-0.060046,0.104034,5.971,-3.461,0.936672,-0.175065,0.303311,17.657,-10.586,-0.992896,0.059478,-0.103049,0.936672,-0.175065,0.303311,672.197,264414.531,24572.098,95.199,264478.250,24461.721,11.900000,4.500000,1.482578,0.000000,-1.450387,3.141593,0.000000,1.932025,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
81,6.773519,0,1,0.990901,-0.067282,0.116571,6.694,-3.884,0.920505,-0.195322,0.338408,19.780,-11.980,-0.991061,0.066690,-0.115545,0.920505,-0.195322,0.338408,671.555,264412.000,24576.473,99.160,264483.188,24453.121,11.399999,4.500000,1.419861,0.000000,-1.435792,3.141593,0.000000,1.975810,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
82,6.857143,0,1,0.988831,-0.074505,0.129084,7.417,-4.309,0.902585,-0.215208,0.372861,21.892,-13.411,-0.989016,0.073888,-0.128016,0.902585,-0.215208,0.372861,670.839,264409.469,24580.836,103.550,264488.062,24444.680,10.900001,4.500000,1.357142,0.000000,-1.421197,3.141593,0.000000,2.019596,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
83,6.940766,0,1,0.986550,-0.081711,0.141569,8.139,-4.735,0.882947,-0.234684,0.406605,23.992,-14.885,-0.986761,0.081071,-0.140461,0.882947,-0.234684,0.406605,670.050,264406.969,24585.193,108.361,264492.844,24436.414,10.400000,4.500000,1.294425,0.000000,-1.406602,3.141593,0.000000,2.063381,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
84,7.024390,0,1,0.984060,-0.088900,0.154024,8.860,-5.162,0.000000,-0.499889,0.866089,60.007,-90.000,-0.984298,0.088236,-0.152875,0.000000,-0.499889,0.866089,669.188,264404.469,24589.537,324.684,264557.812,24323.840,9.899999,4.500000,1.231707,0.000000,-1.392007,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
85,7.108014,0,1,0.981359,-0.096070,0.166447,9.581,-5.591,0.000000,-0.499889,0.866089,60.007,-90.000,-0.981627,0.095383,-0.165258,0.000000,-0.499889,0.866089,668.253,264401.969,24593.871,324.684,264557.812,24323.840,9.400001,4.500000,1.168989,0.000000,-1.377411,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
86,7.191638,0,1,0.978450,-0.103219,0.178833,10.302,-6.022,0.000000,-0.499889,0.866089,60.007,-90.000,-0.978748,0.102510,-0.177605,0.000000,-0.499889,0.866089,667.245,264399.469,24598.193,324.684,264557.812,24323.840,8.900000,4.500000,1.106272,0.000000,-1.362816,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
87,7.275262,0,1,0.975332,-0.110346,0.191182,11.022,-6.455,0.000000,-0.499889,0.866089,60.007,-90.000,-0.975662,0.109615,-0.189915,0.000000,-0.499889,0.866089,666.165,264396.969,24602.502,324.684,264557.812,24323.840,8.399999,4.500000,1.043554,0.000000,-1.348221,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
88,7.358885,0,1,0.972007,-0.117450,0.203490,11.741,-6.890,0.000000,-0.499889,0.866089,60.007,-90.000,-0.972370,0.116697,-0.202185,0.000000,-0.499889,0.866089,665.013,264394.500,24606.795,324.684,264557.812,24323.840,7.900001,4.500000,0.980836,0.000000,-1.333626,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
89,7.442509,0,1,0.968474,-0.124529,0.215755,12.460,-7.327,0.000000,-0.499889,0.866089,60.007,-90.000,-0.968872,0.123754,-0.214411,0.000000,-0.499889,0.866089,663.789,264392.031,24611.076,324.684,264557.812,24323.840,7.400000,4.500000,0.918118,0.000000,-1.319031,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
90,7.526133,0,1,0.964735,-0.131582,0.227974,13.178,-7.767,0.000000,-0.499889,0.866089,60.007,-90.000,-0.965169,0.130785,-0.226593,0.000000,-0.499889,0.866089,662.493,264389.562,24615.338,324.684,264557.812,24323.840,6.899999,4.500000,0.855401,0.000000,-1.304436,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
91,7.609756,0,1,0.960791,-0.138606,0.240144,13.895,-8.209,0.000000,-0.499889,0.866089,60.007,-90.000,-0.961262,0.137788,-0.238727,0.000000,-0.499889,0.866089,661.125,264387.125,24619.586,324.684,264557.812,24323.840,6.400001,4.500000,0.792683,0.000000,-1.289841,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
92,7.693380,0,1,0.956642,-0.145601,0.252263,14.611,-8.654,0.000000,-0.499889,0.866089,60.007,-90.000,-0.957151,0.144762,-0.250810,0.000000,-0.499889,0.866089,659.687,264384.688,24623.814,324.684,264557.812,24323.840,5.900000,4.500000,0.729965,0.000000,-1.275246,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
93,7.777003,0,1,0.952289,-0.152565,0.264328,15.327,-9.102,0.000000,-0.499889,0.866089,60.007,-90.000,-0.952838,0.151706,-0.262840,0.000000,-0.499889,0.866089,658.177,264382.250,24628.025,324.684,264557.812,24323.840,5.399999,4.500000,0.667248,0.000000,-1.260651,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
94,7.860627,0,1,0.947734,-0.159496,0.276337,16.042,-9.553,0.000000,-0.499889,0.866089,60.007,-90.000,-0.948324,0.158617,-0.274814,0.000000,-0.499889,0.866089,656.597,264379.812,24632.217,324.684,264557.812,24323.840,4.900001,4.500000,0.604530,0.000000,-1.246056,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
95,7.944251,0,1,0.942976,-0.166393,0.288287,16.755,-10.007,0.000000,-0.499889,0.866089,60.007,-90.000,-0.943608,0.165495,-0.286731,0.000000,-0.499889,0.866089,654.947,264377.406,24636.387,324.684,264557.812,24323.840,4.400000,4.500000,0.541812,0.000000,-1.231461,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
96,8.027874,1,1,0.938018,-0.173255,0.300176,17.468,-10.465,0.000000,-0.499889,0.866089,60.007,-90.000,-0.938694,0.172338,-0.298586,0.000000,-0.499889,0.866089,653.226,264375.031,24640.537,324.684,264557.812,24323.840,3.994286,4.500000,0.498805,0.000000,-1.216866,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
97,8.111499,1,1,0.932859,-0.180080,0.312001,18.180,-10.926,0.000000,-0.499889,0.866089,60.007,-90.000,-0.933580,0.179144,-0.310379,0.000000,-0.499889,0.866089,651.437,264372.656,24644.664,324.684,264557.812,24323.840,3.965714,4.500000,0.495221,0.000000,-1.202270,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
98,8.195122,1,1,0.927503,-0.186867,0.323759,18.890,-11.391,0.000000,-0.499889,0.866089,60.007,-90.000,-0.928270,0.185913,-0.322105,0.000000,-0.499889,0.866089,649.578,264370.281,24648.768,324.684,264557.812,24323.840,3.937143,4.500000,0.491638,0.000000,-1.187675,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
99,8.278746,1,1,0.921948,-0.193614,0.335448,19.600,-11.860,0.000000,-0.499889,0.866089,60.007,-90.000,-0.922762,0.192642,-0.333764,0.000000,-0.499889,0.866089,647.650,264367.906,24652.850,324.684,264557.812,24323.840,3.908571,4.500000,0.488054,0.000000,-1.173080,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
100,8.362370,1,1,0.916197,-0.200320,0.347066,20.308,-12.333,0.000000,-0.499889,0.866089,60.007,-90.000,-0.917060,0.199330,-0.345352,0.000000,-0.499889,0.866089,645.655,264365.594,24656.904,324.684,264557.812,24323.840,3.880000,4.500000,0.484470,0.000000,-1.158485,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
101,8.445993,1,1,0.910251,-0.206983,0.358610,21.015,-12.811,0.000000,-0.499889,0.866089,60.007,-90.000,-0.911164,0.205977,-0.356867,0.000000,-0.499889,0.866089,643.591,264363.250,24660.936,324.684,264557.812,24323.840,3.851429,4.500000,0.480886,0.000000,-1.143890,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
102,8.529617,1,1,0.904111,-0.213601,0.370078,21.720,-13.293,0.000000,-0.499889,0.866089,60.007,-90.000,-0.905075,0.212579,-0.368307,0.000000,-0.499889,0.866089,641.460,264360.938,24664.939,324.684,264557.812,24323.840,3.822857,4.500000,0.477302,0.000000,-1.129295,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
103,8.613240,1,1,0.897779,-0.220175,0.381466,22.425,-13.779,0.000000,-0.499889,0.866089,60.007,-90.000,-0.898794,0.219137,-0.379669,0.000000,-0.499889,0.866089,639.261,264358.656,24668.916,324.684,264557.812,24323.840,3.794286,4.500000,0.473718,0.000000,-1.114700,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
104,8.696864,1,1,0.891255,-0.226701,0.392774,23.127,-14.271,0.000000,-0.499889,0.866089,60.007,-90.000,-0.892323,0.225648,-0.390950,0.000000,-0.499889,0.866089,636.997,264356.375,24672.863,324.684,264557.812,24323.840,3.765714,4.500000,0.470134,0.000000,-1.100105,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
105,8.780488,1,1,0.884541,-0.233179,0.403998,23.828,-14.768,0.000000,-0.499889,0.866089,60.007,-90.000,-0.885664,0.232112,-0.402148,0.000000,-0.499889,0.866089,634.666,264354.094,24676.783,324.684,264557.812,24323.840,3.737143,4.500000,0.466550,0.000000,-1.085510,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
106,8.864111,1,1,0.877639,-0.239608,0.415135,24.528,-15.270,0.000000,-0.499889,0.866089,60.007,-90.000,-0.878817,0.238527,-0.413262,0.000000,-0.499889,0.866089,632.270,264351.875,24680.674,324.684,264557.812,24323.840,3.708571,4.500000,0.462967,0.000000,-1.070915,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
107,8.947736,1,1,0.870550,-0.245985,0.426185,25.226,-15.778,0.000000,-0.499889,0.866089,60.007,-90.000,-0.871784,0.244891,-0.424288,0.000000,-0.499889,0.866089,533.327,264253.438,24587.520,228.203,264461.625,24226.828,3.680000,4.500000,0.459383,0.000000,-1.056319,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
108,9.031359,1,1,0.863276,-0.252310,0.437143,25.922,-16.292,0.000000,-0.499889,0.866089,60.007,-90.000,-0.864567,0.251203,-0.435225,0.000000,-0.499889,0.866089,627.282,264347.438,24688.359,324.684,264557.812,24323.840,3.651429,4.500000,0.455799,0.000000,-1.041724,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
109,9.114983,1,1,0.855818,-0.258582,0.448009,26.616,-16.812,0.000000,-0.499889,0.866089,60.007,-90.000,-0.857167,0.257462,-0.446069,0.000000,-0.499889,0.866089,624.692,264345.219,24692.156,324.684,264557.812,24323.840,3.622857,4.500000,0.452215,0.000000,-1.027129,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
110,9.198606,1,1,0.848177,-0.264798,0.458779,27.308,-17.338,0.000000,-0.499889,0.866089,60.007,-90.000,-0.849586,0.263667,-0.456819,0.000000,-0.499889,0.866089,622.039,264343.062,24695.918,324.684,264557.812,24323.840,3.594286,4.500000,0.448631,0.000000,-1.012534,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
111,9.282230,1,1,0.840356,-0.270958,0.469451,27.999,-17.871,0.000000,-0.499889,0.866089,60.007,-90.000,-0.841825,0.269816,-0.467472,0.000000,-0.499889,0.866089,619.322,264340.906,24699.646,324.684,264557.812,24323.840,3.565714,4.500000,0.445047,0.000000,-0.997939,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
112,9.365853,1,1,0.832356,-0.277060,0.480023,28.687,-18.411,0.000000,-0.499889,0.866089,60.007,-90.000,-0.833886,0.275907,-0.478027,0.000000,-0.499889,0.866089,616.544,264338.781,24703.340,324.684,264557.812,24323.840,3.537143,4.500000,0.441463,0.000000,-0.983344,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
113,9.449477,1,1,0.824178,-0.283103,0.490493,29.373,-18.957,0.000000,-0.499889,0.866089,60.007,-90.000,-0.825770,0.281941,-0.488480,0.000000,-0.499889,0.866089,613.703,264336.656,24707.000,324.684,264557.812,24323.840,3.508571,4.500000,0.437880,0.000000,-0.968749,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
114,9.533101,1,1,0.815825,-0.289086,0.500859,30.057,-19.512,0.000000,-0.499889,0.866089,60.007,-90.000,-0.817480,0.287915,-0.498830,0.000000,-0.499889,0.866089,514.321,264238.375,24613.609,228.203,264461.625,24226.828,3.480000,4.500000,0.434296,0.000000,-0.954154,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
115,9.616725,1,1,0.807298,-0.295007,0.511118,30.738,-20.074,0.000000,-0.499889,0.866089,60.007,-90.000,-0.807304,0.295003,-0.511111,0.000000,-0.499889,0.866089,607.240,264332.094,24714.920,324.684,264557.812,24323.840,3.445714,4.500000,0.430712,0.000000,-0.939559,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
116,9.700348,1,1,0.798599,-0.300865,0.521268,31.417,-20.643,0.000000,-0.499889,0.866089,60.007,-90.000,-0.798636,0.300841,-0.521226,0.000000,-0.499889,0.866089,604.206,264330.062,24718.461,324.684,264557.812,24323.840,3.417143,4.500000,0.427128,0.000000,-0.924964,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
117,9.783972,1,1,0.789730,-0.306659,0.531307,32.094,-21.222,0.000000,-0.499889,0.866089,60.007,-90.000,-0.789798,0.306615,-0.531230,0.000000,-0.499889,0.866089,601.113,264328.031,24721.961,324.684,264557.812,24323.840,3.388571,4.500000,0.423544,0.000000,-0.910369,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
118,9.867596,1,1,0.780693,-0.312388,0.541232,32.768,-21.808,0.000000,-0.499889,0.866089,60.007,-90.000,-0.780794,0.312325,-0.541123,0.000000,-0.499889,0.866089,597.961,264326.031,24725.424,324.684,264557.812,24323.840,3.360000,4.500000,0.419960,0.000000,-0.895774,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
119,9.951220,1,1,0.771489,-0.318051,0.551043,33.439,-22.404,0.000000,-0.499889,0.866089,60.007,-90.000,-0.771625,0.317969,-0.550901,0.000000,-0.499889,0.866089,498.271,264227.875,24631.834,228.203,264461.625,24226.828,3.331429,4.500000,0.416376,0.000000,-0.881178,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
120,10.034843,1,1,0.762121,-0.323645,0.560736,34.107,-23.009,0.000000,-0.499889,0.866089,60.007,-90.000,-0.762292,0.323545,-0.560562,0.000000,-0.499889,0.866089,591.486,264322.094,24732.229,324.684,264557.812,24323.840,3.302857,4.500000,0.412792,0.000000,-0.866583,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
121,10.118467,1,1,0.752591,-0.329171,0.570310,34.772,-23.624,0.000000,-0.499889,0.866089,60.007,-90.000,-0.752798,0.329053,-0.570105,0.000000,-0.499889,0.866089,588.163,264320.188,24735.568,324.684,264557.812,24323.840,3.274286,4.500000,0.409209,0.000000,-0.851988,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
122,10.202090,1,1,0.742901,-0.334627,0.579762,35.434,-24.248,0.000000,-0.499889,0.866089,60.007,-90.000,-0.743145,0.334491,-0.579527,0.000000,-0.499889,0.866089,584.784,264318.281,24738.865,324.684,264557.812,24323.840,3.245714,4.500000,0.405625,0.000000,-0.837393,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
123,10.285714,1,1,0.733052,-0.340011,0.589090,36.092,-24.883,0.000000,-0.499889,0.866089,60.007,-90.000,-0.733334,0.339859,-0.588826,0.000000,-0.499889,0.866089,581.351,264316.406,24742.121,324.684,264557.812,24323.840,3.217143,4.500000,0.402041,0.000000,-0.822798,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
124,10.369338,1,1,0.723047,-0.345323,0.598294,36.748,-25.529,0.000000,-0.499889,0.866089,60.007,-90.000,-0.723369,0.345154,-0.598001,0.000000,-0.499889,0.866089,577.863,264314.531,24745.332,324.684,264557.812,24323.840,3.188571,4.500000,0.398457,0.000000,-0.808203,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
125,10.452962,1,1,0.712888,-0.350561,0.607369,37.400,-26.186,0.000000,-0.499889,0.866089,60.007,-90.000,-0.713250,0.350377,-0.607050,0.000000,-0.499889,0.866089,574.321,264312.719,24748.498,324.684,264557.812,24323.840,3.160000,4.500000,0.394873,0.000000,-0.793608,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
126,10.536585,1,1,0.702577,-0.355725,0.616316,38.048,-26.854,0.000000,-0.499889,0.866089,60.007,-90.000,-0.702981,0.355526,-0.615970,0.000000,-0.499889,0.866089,570.727,264310.906,24751.621,324.684,264557.812,24323.840,3.131428,4.500000,0.391289,0.000000,-0.779013,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
127,10.620209,1,1,0.692117,-0.360813,0.625131,38.692,-27.534,0.000000,-0.499889,0.866089,60.007,-90.000,-0.692563,0.360599,-0.624760,0.000000,-0.499889,0.866089,567.081,264309.125,24754.697,324.684,264557.812,24323.840,3.102857,4.500000,0.387705,0.000000,-0.764418,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
128,10.703833,1,1,0.681509,-0.365824,0.633813,39.332,-28.226,0.000000,-0.499889,0.866089,60.007,-90.000,-0.681998,0.365596,-0.633418,0.000000,-0.499889,0.866089,563.383,264307.375,24757.727,324.684,264557.812,24323.840,3.074286,4.500000,0.384121,0.000000,-0.749823,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
129,10.787457,1,1,0.670756,-0.370757,0.642360,39.968,-28.931,0.000000,-0.499889,0.866089,60.007,-90.000,-0.671289,0.370516,-0.641941,0.000000,-0.499889,0.866089,559.635,264305.656,24760.711,324.684,264557.812,24323.840,3.045714,4.500000,0.380538,0.000000,-0.735228,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
130,10.871080,1,1,0.659860,-0.375611,0.650770,40.600,-29.650,0.000000,-0.499889,0.866089,60.007,-90.000,-0.660439,0.375357,-0.650329,0.000000,-0.499889,0.866089,555.837,264303.969,24763.646,324.684,264557.812,24323.840,3.017143,4.500000,0.376954,0.000000,-0.720632,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
131,10.954704,1,1,0.648824,-0.380385,0.659041,41.227,-30.382,0.000000,-0.499889,0.866089,60.007,-90.000,-0.649448,0.380119,-0.658579,0.000000,-0.499889,0.866089,551.990,264302.312,24766.533,324.684,264557.812,24323.840,2.988572,4.500000,0.373370,0.000000,-0.706037,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
132,11.038327,1,1,0.637649,-0.385078,0.667172,41.849,-31.128,0.000000,-0.499889,0.866089,60.007,-90.000,-0.638320,0.384800,-0.666691,0.000000,-0.499889,0.866089,548.096,264300.656,24769.373,324.684,264557.812,24323.840,2.960000,4.500000,0.369786,0.000000,-0.691442,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
133,11.121951,1,1,0.626338,-0.389689,0.675161,42.467,-31.889,0.000000,-0.499889,0.866089,60.007,-90.000,-0.627057,0.389400,-0.674661,0.000000,-0.499889,0.866089,544.154,264299.062,24772.162,324.684,264557.812,24323.840,2.931428,4.500000,0.366202,0.000000,-0.676847,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
134,11.205575,1,1,0.614894,-0.394217,0.683006,43.079,-32.664,0.000000,-0.499889,0.866089,60.007,-90.000,-0.615662,0.393918,-0.682488,0.000000,-0.499889,0.866089,540.165,264297.469,24774.902,324.684,264557.812,24323.840,2.902857,4.500000,0.362618,0.000000,-0.662252,3.141593,0.000000,-3.141593,3.141593,0.000000,0,0,0,#000000,30.000000,180.000000,0.000000
